'HBNOR', 'Afp', 'Prlh', 'Phox2b', 'Casr', 'Gch1', 'Cd24a'
'HBGLU1', 'Pou4f1', 'Htr5b', 'Rims4', 'Gpr88', 'Gjd2', 'Gabrg1'
'DEGLU2', 'Shox2', 'Aldh3b2', 'Ramp3', 'Rasl11a', 'Cfap221', 'Prkch'
'DEGLU1', 'Synpo2', 'Adamts15', 'Prkcd', 'Ptpn3', 'Ptpn4', 'Vav3'
'MSN1', 'Drd1', 'Ido1', 'Ppp1r1b', 'Rgs9', 'Syndig1l', 'Nexn'
'MSN2', 'Adora2a', 'Ido1', 'Penk', 'Gpr88', 'Gpr6', 'Rasd2'
'MSN3', 'Adora2a', 'Gpr83', 'Penk', 'Gpr88', 'Gpr6', 'Pde10a'
'MSN5', 'Drd1', 'Lrpprc', 'Foxp2', 'Gpr88', 'Rxrg', 'Jsrp1'
'MSN4', 'Drd1', 'Dclk3', 'Mhrt', 'Rgs9', 'Rem2', 'Pde10a'
'MSN6', 'Tac1', 'Wnt2', 'Isl1', 'Rgs9', 'Pcp4l1', 'Gpr26'
'OEC', 'Prss56', 'Mgst1', 'Clca3a1', 'Fabp7', 'Ccdc80', 'Alx3'
'DETPH', 'Pde6g', 'Platr17', '1700042O10Rik', 'Sag', 'Gnb3', 'Rbp3'
'RGDG', 'E330013P04Rik', 'Hopx', 'Thrsp', 'Hes5', 'E130114P18Rik', 'Pantr1'
'RGSZ', '2810459M11Rik', 'Gm14964', 'Mlc1', 'Riiad1', 'E130114P18Rik', 'Slc1a3'
'OPC', 'Pdgfra', 'C1ql1', 'Sapcd2', 'Emid1', 'Lhfpl3', 'Tmem100'
'SZNBL', '2810417H13Rik', 'Cdca7', 'Rrm2', 'Ube2c', 'Top2a', 'Lockd'
'EPMB', 'Tnnt3', 'Cfap126', 'Mlf1', '4933407L21Rik', 'Calml4', 'Enkur'
'HYPEN', 'Spp2', 'Sspo', 'Wfdc2', 'Spdef', 'Fam216b', 'Gm12144'
'OBDOP2', 'Scgn', 'Cpne6', 'Synpr', 'Isoc1', 'Pcp4l1', 'Dcx'
'OBINH2', 'Shisa8', 'Fam184a', 'Inpp5j', 'Lgr5', 'Kank3', 'Syt6'
'OBINH3', 'Gpsm1', 'Col6a1', 'Meis2', 'Kcnh3', 'Pcp4l1', 'Myo16'
'OBINH1', 'Sp9', 'Ccsap', 'Gng4', 'Pbx3', 'Tshz1', 'Dcx'
'OBINH4', 'Prok2', 'Trdn', 'Inhba', 'Ppp1r17', 'Kcnip2', 'A830018L16Rik'
'OBNBL2', 'Ly6g6e', 'Eomes', 'Nmb', 'Casp1', 'Tmem132d', '6430710C18Rik'
'TEGLU6', 'Tshz2', 'Ddit4l', 'Neurod6', 'Dkk3', 'Hlf', 'March1'
'TEGLU1', 'Myl4', 'Cpne4', 'Olfm3', 'Gm11549', 'Plcxd2', 'Neto2'
'DGGRC2', 'C1ql2', 'Nr3c2', 'Rasl10a', 'Tubgcp2', 'Ahcyl2', 'Rab40b'
'DGGRC1', 'Bhlhe22', 'Tmem114', 'Ntf3', 'Islr2', 'Gabra5', 'Prox1os'
'DGNBL1', 'Igfbpl1', 'Mfap4', 'Sox11', 'Mdk', 'Emx1', 'Rcor2'
'DGNBL2', 'Igfbpl1', 'Rerg', 'Sox11', 'Tubb2b', 'Syce2', 'Ttc28'
'OBNBL3', 'Igfbpl1', 'Tiam2', 'Dlx2', 'Dlx1', 'Dlx6os1', 'Dcx'
'HYPEP3', 'Fezf1', 'Baiap3', 'Hap1', 'A730017C20Rik', 'Myh7', 'Nrsn2'
'HYPEP2', 'Ucn3', 'Baiap3', 'Pkib', 'Tmie', 'Fam46a', 'Pnmal1'
'HYPEP1', 'Trh', 'Ngb', 'Peg10', 'Gabre', 'Resp18', 'Nrsn2'
'CBNBL2', 'Neurod1', 'Mia', 'Pax6', 'Ppp1r14c', 'Nrep', 'Nfib'
'CBGRC', 'Cbln3', 'Gabra6', 'Pax6', 'Grm4', 'Nrep', 'Adcy1'
'CR', 'Ndnf', 'Nhlh2', 'Trp73', 'Ankrd35', 'Lhx5', 'Ramp1'
'CBNBL1', 'Sln', 'Lmx1a', 'Pkib', 'Inadl', 'Trpc3', 'Ank1'
'SEPNBL', 'Sln', 'Sost', 'Ctxn3', 'Adgrd1', 'Fzd7', 'Eps8'
'OBNBL5', 'Nppa', 'Dlx5', 'Calb2', 'Apold1', 'Nxph1', 'Nrsn1'
'OBNBL4', 'Nppa', 'Nccrp1', 'Htr1f', 'Id2', 'Nxph1', 'Nol4'
'DECHO2', 'Gm5741', 'Gng8', 'Lrrc55', 'Nwd2', 'Ccdc155', 'Syt9'
'HYPEP5', 'Avp', 'H2-DMb2', 'Sim1', 'Angpt1', 'Pcsk1', 'Fkbp11'
'DEINH7', 'Avp', 'Rgs16', 'Pkib', 'Rasd1', 'Gadd45g', 'B630019K06Rik'
'HYPEP4', 'Oxt', 'Fam183b', 'Sim1', 'Nog', 'Caprin2', 'Fkbp11'
'HBGLU8', 'Spp1', 'Cyp2s1', 'Nefh', 'Gm26673', 'Cpne9', 'Cdh23'
'HBGLU6', 'Irx2', 'Hoxc5', 'Esrrg', 'Rnf152', 'Sgcg', 'Efr3a'
'HBGLU7', 'Irx2', 'Mreg', 'Esrrg', 'Rnf152', 'Ucma', 'Efr3a'
'HBGLU5', 'Irx2', 'Ly6d', 'Fcmr', 'Fat2', 'Irx1', 'Acaa1b'
